Date,R_LowerBound,R_UpperBound
2020-05-22,0.7,1
2020-05-29,0.7,0.9
2020-06-05,0.6,0.8
2020-06-12,0.6,0.9
2020-06-18,0.6,0.8
2020-06-24,0.6,0.8
2020-07-01,0.6,0.8
2020-07-08,0.6,1
2020-07-15,0.5,0.9
2020-07-22,0.6,0.9
2020-07-29,0.6,0.9
2020-08-05,0.6,1
2020-08-13,0.6,1.3
2020-08-20,0.8,1.2
2020-08-27,0.8,1.2
2020-09-02,0.9,1.4
2020-09-09,1.1,1.5
2020-09-16,1.1,1.4
2020-09-23,1.2,1.6
2020-09-30,1.3,1.7
2020-10-07,1.3,1.6
2020-10-14,1.3,1.6
2020-10-21,1.2,1.5
2020-10-28,1,1.3
2020-11-04,0.9,1.1
2020-11-11,0.8,1.1
2020-11-18,0.8,1
2020-11-25,0.8,1
2020-12-02,0.8,1
2020-12-09,0.7,0.9
2020-12-16,0.9,1.1
2020-12-22,0.9,1.1
2021-01-06,0.9,1.3
2021-01-13,1,1.4
2021-01-20,0.8,1.1
2021-01-27,0.7,1
2021-02-03,0.7,0.9
2021-02-10,0.7,0.9
2021-02-17,0.7,0.9
2021-02-24,0.7,0.9
2021-03-03,0.7,0.9
2021-03-10,0.6,0.8
2021-03-17,0.7,1
2021-03-24,0.8,1
2021-03-31,0.8,1
2021-04-07,0.8,1
2021-04-14,0.8,1
2021-04-21,0.7,0.9
2021-04-28,0.8,1
2021-05-05,0.7,1
2021-05-12,0.8,1
2021-05-19,0.9,1.2
2021-05-26,1,1.3
2021-06-02,1.1,1.3
2021-06-09,1.2,1.4
2021-06-16,1.2,1.4
2021-06-23,1.1,1.3
2021-06-30,1.2,1.5
2021-07-07,1.2,1.5
